model,query,response,ground_truth,precision@2,recall@2,mrr,bleu,rouge_l,semantic_similarity,response_time,factual_accuracy
Grok,Làm thế nào để đăng ký môn học tại HCMUT?,"Để đăng ký môn học tại HCMUT, bạn cần thực hiện các bước sau:

1. **Đăng nhập tài khoản HCMUT**: Truy cập trang [đăng nhập](https://hcmut.edu.vn/auth/cas?route=/user) và sử dụng email và mật khẩu của bạn. Nếu quên mật khẩu, hãy truy cập liên kết ""Quên mật khẩu?"" trên trang.

2. **Truy cập trang sinh viên**: Sau khi đăng nhập, vào [trang dành cho sinh viên](https://hcmut.edu.vn/student-page). Ở đây, bạn có thể tìm thấy phần đăng ký môn học (thường nằm trong hệ thống thông tin sinh viên).

3. **Thực hiện đăng ký**: Theo hướng dẫn trên trang, chọn môn học bạn muốn đăng ký và hoàn tất quy trình.

Lưu ý: Vì lý do an ninh, hãy đóng trình duyệt sau khi sử dụng. Nếu gặp vấn đề, liên hệ hỗ trợ qua email: support@hcmut.edu.vn hoặc số điện thoại: (84-8) 38647256 - 5200.","Đăng nhập MyBK bằng tài khoản SSO, vào mục Dịch vụ Học tập và làm theo hướng dẫn đăng ký môn học.",0.0,0,0,0.015201755603694054,0.19771863117870722,0.49872103333473206,6.973627200000919,
DeepSeek,Làm thế nào để đăng ký môn học tại HCMUT?,"Để đăng ký môn học tại HCMUT, bạn cần thực hiện các bước sau:

1. **Đăng nhập vào hệ thống**:  
   - Truy cập [HCMUT Information System](https://hcmut.edu.vn/auth/cas?route=/user) và đăng nhập bằng tài khoản HCMUT của bạn.

2. **Truy cập phần đăng ký môn học**:  
   - Sau khi đăng nhập, vào mục **Sinh viên** hoặc **Đăng ký môn học** (tùy theo giao diện hệ thống).

3. **Chọn môn học và xác nhận**:  
   - Chọn các môn học bạn muốn đăng ký từ danh sách có sẵn và xác nhận đăng ký.

4. **Kiểm tra kết quả**:  
   - Sau khi hoàn tất, kiểm tra lại thông tin đăng ký để đảm bảo không có sai sót.

Nếu gặp khó khăn, liên hệ bộ phận hỗ trợ qua email **support@hcmut.edu.vn** hoặc số điện thoại **(84-8) 38647256 - 5200**.  

Lưu ý: Đảm bảo thoát trình duyệt sau khi sử dụng các dịch vụ yêu cầu xác thực.","Đăng nhập MyBK bằng tài khoản SSO, vào mục Dịch vụ Học tập và làm theo hướng dẫn đăng ký môn học.",0.0,0,0,0.030229216370879886,0.19999999999999998,0.48271608352661133,19.353146299996297,
OpenAI,Làm thế nào để đăng ký môn học tại HCMUT?,"Để đăng ký môn học tại HCMUT, bạn cần thực hiện các bước sau:

1. Truy cập vào hệ thống thông tin HCMUT.
2. Đăng nhập bằng tài khoản HCMUT của bạn.
3. Tìm mục đăng ký môn học trong hệ thống.
4. Chọn các môn học bạn muốn đăng ký và hoàn tất quy trình.

Nếu bạn gặp khó khăn, hãy liên hệ với bộ phận hỗ trợ qua email: support@hcmut.edu.vn hoặc gọi số (84-8) 38647256 - 5200.","Đăng nhập MyBK bằng tài khoản SSO, vào mục Dịch vụ Học tập và làm theo hướng dẫn đăng ký môn học.",0.0,0,0,0.033514271341166524,0.2625,0.4862028658390045,3.443488500000967,
Grok,Quy trình xác minh bằng cấp để sử dụng ở nước ngoài là gì?,"Dựa trên ngữ cảnh bạn cung cấp từ hệ thống của Đại học Bách khoa TP. HCM (HCMUT), quy trình xác minh bằng cấp để sử dụng ở nước ngoài thường bao gồm các bước sau:

1. **Lấy tài liệu gốc từ trường đại học**: Đăng ký tốt nghiệp và nhận bằng cấp hoặc giấy xác nhận sinh viên (như mục 6 và 5 trong ngữ cảnh). Ví dụ, bạn cần đăng ký tốt nghiệp qua liên kết được cung cấp để có quyết định tốt nghiệp và bằng.

2. **Công chứng và hợp pháp hóa**: 
   - Công chứng tài liệu tại văn phòng công chứng ở Việt Nam.
   - Yêu cầu hợp pháp hóa hoặc apostille tại Bộ Ngoại giao Việt Nam (hoặc Bộ Giáo dục và Đào tạo nếu liên quan) để tài liệu được công nhận quốc tế theo Công ước Hague.

3. **Kiểm tra yêu cầu cụ thể**: Tùy thuộc vào quốc gia đích, bạn có thể cần dịch thuật công chứng hoặc xác minh trực tiếp qua đại sứ quán nước đó. Hãy liên hệ Văn phòng Hợp tác Quốc tế của HCMUT để được hướng dẫn chi tiết.

Nếu bạn cần hỗ trợ đăng ký tài liệu từ trường, hãy truy cập các liên kết trong ngữ cảnh và đăng nhập qua hệ thống SSO.","Nộp yêu cầu xác minh bằng cấp qua MyBK hoặc BKSI, kèm theo các tài liệu cần thiết theo hướng dẫn trong mục Giáo dục.",0.0,0,0,0.012343838957067753,0.15625,0.5006220936775208,8.099741100006213,
DeepSeek,Quy trình xác minh bằng cấp để sử dụng ở nước ngoài là gì?,"Quy trình xác minh bằng cấp để sử dụng ở nước ngoài thường bao gồm các bước sau:

1. **Công chứng bản dịch**: Dịch bằng cấp sang ngôn ngữ của nước sử dụng và công chứng bản dịch tại cơ quan có thẩm quyền.

2. **Hợp pháp hóa lãnh sự**: 
   - **Xác nhận của Bộ Giáo dục & Đào tạo**: Nộp hồ sơ (bằng gốc/bản sao công chứng, bản dịch) để được xác nhận.
   - **Hợp pháp hóa tại Bộ Ngoại giao**: Sau khi có xác nhận của Bộ GD&ĐT, nộp hồ sơ để hợp pháp hóa.
   - **Hợp pháp hóa tại Đại sứ quán/Lãnh sự quán**: Nộp hồ sơ đã hợp pháp hóa tại Bộ Ngoại giao đến cơ quan đại diện nước ngoài tại Việt Nam.

3. **Apostille (nếu áp dụng)**: Nếu nước sử dụng là thành viên Công ước Hague 1961, chỉ cần xin dấu Apostille thay vì hợp pháp hóa lãnh sự.

**Lưu ý**: 
- Kiểm tra yêu cầu cụ thể của nước sử dụng.
- Thời gian xử lý có thể từ vài ngày đến vài tuần tùy cơ quan.
- Một số trường hợp cần xác minh trực tiếp từ trường đại học.

Bạn có thể liên hệ Phòng Đào tạo hoặc Phòng Hợp tác Quốc tế của trường (HCMUT) để được hướng dẫn chi tiết.","Nộp yêu cầu xác minh bằng cấp qua MyBK hoặc BKSI, kèm theo các tài liệu cần thiết theo hướng dẫn trong mục Giáo dục.",0.0,0,0,0.009310665352488503,0.12532637075718017,0.39048874378204346,23.32882029999746,
OpenAI,Quy trình xác minh bằng cấp để sử dụng ở nước ngoài là gì?,"Quy trình xác minh bằng cấp để sử dụng ở nước ngoài thường bao gồm các bước sau:

1. **Chuẩn bị hồ sơ**: Tập hợp các tài liệu cần thiết như bằng cấp, bảng điểm, và giấy xác nhận sinh viên.
2. **Dịch thuật**: Dịch các tài liệu sang ngôn ngữ yêu cầu (thường là tiếng Anh) và công chứng.
3. **Xác nhận từ cơ sở giáo dục**: Liên hệ với trường để họ xác nhận tính hợp lệ của bằng cấp và bảng điểm.
4. **Nộp hồ sơ**: Gửi hồ sơ đã chuẩn bị đến cơ quan hoặc tổ chức cần xác minh (như trường đại học, nhà tuyển dụng).
5. **Theo dõi**: Kiểm tra tiến độ xác minh và cung cấp thêm thông tin nếu cần.

Bạn nên kiểm tra yêu cầu cụ thể của từng quốc gia hoặc tổ chức vì quy trình có thể khác nhau.","Nộp yêu cầu xác minh bằng cấp qua MyBK hoặc BKSI, kèm theo các tài liệu cần thiết theo hướng dẫn trong mục Giáo dục.",0.0,0,0,0.030053721102881157,0.1956521739130435,0.5373830795288086,4.095020299995667,
Grok,Làm thế nào để thanh toán học phí trực tuyến tại HCMUT?,"Để thanh toán học phí trực tuyến tại HCMUT, bạn cần thực hiện các bước sau:

1. **Đăng nhập tài khoản HCMUT**: Truy cập [trang đăng nhập](https://hcmut.edu.vn/auth/cas?route=/user) và sử dụng tài khoản của bạn (hoặc tài khoản khác nếu áp dụng).

2. **Truy cập trang Sinh viên**: Sau khi đăng nhập, vào [trang Sinh viên](https://hcmut.edu.vn/student-page) để tìm tùy chọn thanh toán học phí. Hệ thống sẽ hướng dẫn chi tiết về quy trình.

3. **Thực hiện thanh toán**: Theo hướng dẫn trên trang, chọn phương thức thanh toán trực tuyến (như chuyển khoản ngân hàng hoặc ví điện tử).

Nếu gặp vấn đề, hãy liên hệ hỗ trợ kỹ thuật qua email: support@hcmut.edu.vn hoặc số điện thoại: (84-8) 38647256 - 5200.",Sử dụng BKPay trên cổng MyBK để thanh toán học phí trực tuyến một cách an toàn.,0.0,0,0,0.023689964709170033,0.16521739130434782,0.5022276639938354,7.318814400001429,
DeepSeek,Làm thế nào để thanh toán học phí trực tuyến tại HCMUT?,"Để thanh toán học phí trực tuyến tại HCMUT, bạn có thể làm theo các bước sau:  

1. **Đăng nhập** vào tài khoản HCMUT tại [trang đăng nhập](https://hcmut.edu.vn/auth/cas?route=/user).  
2. Truy cập **Hệ thống thông tin sinh viên** (thường nằm trong mục ""Sinh viên"" hoặc ""Student Page"").  
3. Chọn **Thanh toán học phí** và làm theo hướng dẫn (có thể thanh toán qua ngân hàng, thẻ hoặc ví điện tử tùy theo tùy chọn hiển thị).  

Nếu gặp khó khăn, liên hệ bộ phận hỗ trợ qua email **support@hcmut.edu.vn** hoặc số điện thoại **(84-8) 38647256 - 5200**.  

Lưu ý: Bạn cần đăng nhập bằng tài khoản HCMUT để thực hiện giao dịch.",Sử dụng BKPay trên cổng MyBK để thanh toán học phí trực tuyến một cách an toàn.,0.0,0,0,0.021971079087074807,0.15841584158415842,0.5023617744445801,14.312651699998241,
OpenAI,Làm thế nào để thanh toán học phí trực tuyến tại HCMUT?,"Để thanh toán học phí trực tuyến tại HCMUT, bạn cần thực hiện các bước sau:

1. **Đăng nhập** vào hệ thống thông tin HCMUT bằng tài khoản sinh viên của bạn.
2. Tìm mục thanh toán học phí trong hệ thống.
3. Chọn phương thức thanh toán và làm theo hướng dẫn để hoàn tất giao dịch.

Nếu bạn gặp khó khăn, hãy liên hệ với bộ phận hỗ trợ qua email: support@hcmut.edu.vn hoặc số điện thoại (84-8) 38647256 - 5200.",Sử dụng BKPay trên cổng MyBK để thanh toán học phí trực tuyến một cách an toàn.,0.0,0,0,0.03608214171653888,0.20512820512820515,0.47882139682769775,3.8549637000032817,
Grok,Yêu cầu về chứng chỉ ngoại ngữ cho sinh viên HCMUT là gì?,"Thông tin về yêu cầu chứng chỉ ngoại ngữ cho sinh viên HCMUT được quy định trong các tài liệu chính thức của trường. Bạn có thể tham khảo tại:

- [Ngoại ngữ](https://mybk.hcmut.edu.vn/bksi/public/vi/article/81)
- [Bảng tổng hợp quy định các chuẩn (áp dụng từ HK223, ngày 01/03/2023)](https://mybk.hcmut.edu.vn/bksi/public/vi/article/80)

Nếu cần hỗ trợ thêm, hãy liên hệ Phòng Đào tạo qua email hoặc số điện thoại được cung cấp trên trang web.","Sinh viên cần nộp chứng chỉ ngoại ngữ (TOEIC, IELTS,...) qua MyBK, theo quy định trong mục Quy chế học tập trên trang web HCMUT.",0.0,0,0,0.050271104214447575,0.25,0.6696085929870605,13.793805400004203,
