query,actual_output,expected_output,correctness_score,pass,reason
Làm thế nào để đăng ký môn học tại HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:']","Đăng nhập MyBK bằng tài khoản SSO, vào mục Dịch vụ Học tập và làm theo hướng dẫn đăng ký môn học.",,False,"Metrics: Correctness (GEval) (score: 0.0, threshold: 0.5, strict: False, error: None) failed."
Cách đăng ký môn học tại HCMUT là gì?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:']","Đăng nhập MyBK qua SSO, vào phần Dịch vụ Học tập, làm theo hướng dẫn.",,False,"Metrics: Correctness (GEval) (score: 0.007585817479810982, threshold: 0.5, strict: False, error: None) failed."
Làm sao để ghi danh môn học ở HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:']","Truy cập MyBK bằng SSO, chọn Dịch vụ Học tập và thực hiện theo hướng dẫn.",,False,"Metrics: Correctness (GEval) (score: 0.0, threshold: 0.5, strict: False, error: None) failed."
Quy trình đăng ký học phần tại HCMUT như thế nào?,"['quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:', 'this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)']","Đăng nhập MyBK với tài khoản SSO, vào Dịch vụ Học tập, làm theo chỉ dẫn.",,False,"Metrics: Correctness (GEval) (score: 0.0477431432678021, threshold: 0.5, strict: False, error: None) failed."
Hướng dẫn đăng ký môn học ở HCMUT ra sao?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', '[ ![BKSI](http://mybk.hcmut.edu.vn/bksi/public/assets/website/logo.png) ](https://mybk.hcmut.edu.vn/bksi/public/vi/folder)\n  * [Trang chủ](https://mybk.hcmut.edu.vn/bksi/public/vi/folder)\n  * [Liên hệ](https://mybk.hcmut.edu.vn/bksi/public/vi/customer/login)\n  * [ ![BKSI](http://mybk.hcmut.edu.vn/bksi/public/flag_en.png)](https://mybk.hcmut.edu.vn/bksi/public/en/)\n\n\n#  BKSI \n## Thông tin phổ biến\n  * [ Đăng ký môn học - Quy định - Hướng dẫn chung ](https://mybk.hcmut.edu.vn/bksi/public/vi/article/82)\n  * [ Quy trình đăng ký môn học](https://mybk.hcmut.edu.vn/bksi/public/vi/article/111)\n  * [ Hướng dẫn gửi xác minh văn bằng, bảng điểm đến trường/tổ chức nước ngoài](https://mybk.hcmut.edu.vn/bksi/public/vi/article/91)\n  * [ Thông báo tân sinh viên](https://mybk.hcmut.edu.vn/bksi/public/vi/article/116)\n  * [ BẢNG LỊCH TRÌNH CÁC MỐC THỜI GIAN CẬP NHẬT CÁC CHUẨN ĐỂ ĐĂNG KÝ MÔN HỌC THEO LỊCH HỌC VỤ HK 242 & HK 243](https://mybk.hcmut.edu.vn/bksi/public/vi/article/120)\n  * [ Ngoại ngữ](https://mybk.hcmut.edu.vn/bksi/public/vi/article/81)\n  * [ Bảng tổng hợp']","Dùng tài khoản SSO đăng nhập MyBK, vào mục Dịch vụ Học tập, thực hiện theo hướng dẫn.",,False,"Metrics: Correctness (GEval) (score: 0.00109869432074312, threshold: 0.5, strict: False, error: None) failed."
Làm thế nào để ghi danh học phần tại HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:']","Truy cập MyBK qua SSO, chọn Dịch vụ Học tập và làm theo các bước.",,False,"Metrics: Correctness (GEval) (score: 0.08740926615972726, threshold: 0.5, strict: False, error: None) failed."
Quy trình xác minh bằng cấp để dùng ở nước ngoài là gì?,"['in Giấy xác nhận SV dùng hoàn tất hồ sơ tạm hoãn NVQS tại địa phương hoặc các công việc khác. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_tn.png)\n[6. Đăng ký Tốt nghiệp ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Sinh viên đăng ký tốt nghiệp, khai báo Lý lịch tốt nghiệp. Các SV không đăng ký Tốt nghiệp sẽ không được cấp Quyết định Tốt nghiệp, cấp Bằng. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_grade_recheck.png)\n[7. Đăng ký Phúc tra điểm bài thi cuối kỳ ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Phúc tra điểm bài thi cuối kỳ \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_bhyt.png)\n[8. Đăng ký Tham gia BHYT, BHTN SV ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Tham gia Bảo hiểm Y tế, Bảo', 'viên mới khi bị mất thẻ \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_bangdiem.png)\n[3. Đăng ký in Bảng điểm ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký in bảng điểm (Bảng điểm chưa tốt nghiệp, Học bạ) \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_xetcc.png)\n[4. Đăng ký nộp Chứng chỉ Ngoại ngữ ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký thông tin chứng chỉ ngoại ngữ để đăng ký chuyển điểm các môn Ngoại ngữ (AV1,AV2,AV3,AV4) hoặc để thỏa điều kiện nhận LVTN, điều kiện Tốt nghiệp \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_dkxnsv.png)\n[5. Đăng ký in Giấy xác nhận SV ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký in Giấy xác nhận SV dùng hoàn tất hồ sơ tạm hoãn NVQS tại địa phương hoặc các công việc']","Nộp đơn xác minh qua MyBK hoặc BKSI, kèm tài liệu theo hướng dẫn mục Giáo dục.",,False,"Metrics: Correctness (GEval) (score: 0.0022977371206299494, threshold: 0.5, strict: False, error: None) failed."
Làm sao để xác thực bằng cấp dùng ở nước ngoài tại HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'in Giấy xác nhận SV dùng hoàn tất hồ sơ tạm hoãn NVQS tại địa phương hoặc các công việc khác. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_tn.png)\n[6. Đăng ký Tốt nghiệp ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Sinh viên đăng ký tốt nghiệp, khai báo Lý lịch tốt nghiệp. Các SV không đăng ký Tốt nghiệp sẽ không được cấp Quyết định Tốt nghiệp, cấp Bằng. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_grade_recheck.png)\n[7. Đăng ký Phúc tra điểm bài thi cuối kỳ ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Phúc tra điểm bài thi cuối kỳ \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_bhyt.png)\n[8. Đăng ký Tham gia BHYT, BHTN SV ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Tham gia Bảo hiểm Y tế, Bảo']","Gửi yêu cầu qua MyBK hoặc BKSI, đính kèm tài liệu theo chỉ dẫn mục Giáo dục.",,False,"Metrics: Correctness (GEval) (score: 0.0, threshold: 0.5, strict: False, error: None) failed."
Cách xác minh bằng cấp để sử dụng quốc tế tại HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'in Giấy xác nhận SV dùng hoàn tất hồ sơ tạm hoãn NVQS tại địa phương hoặc các công việc khác. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_tn.png)\n[6. Đăng ký Tốt nghiệp ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Sinh viên đăng ký tốt nghiệp, khai báo Lý lịch tốt nghiệp. Các SV không đăng ký Tốt nghiệp sẽ không được cấp Quyết định Tốt nghiệp, cấp Bằng. \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_grade_recheck.png)\n[7. Đăng ký Phúc tra điểm bài thi cuối kỳ ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Phúc tra điểm bài thi cuối kỳ \n  * ![](https://mybk.hcmut.edu.vn/images/upload/app_bhyt.png)\n[8. Đăng ký Tham gia BHYT, BHTN SV ](https://sso.hcmut.edu.vn/cas/login?service=https://mybk.hcmut.edu.vn/my/homeSSO.action) Đăng ký Tham gia Bảo hiểm Y tế, Bảo']","Nộp đơn qua MyBK hoặc BKSI, kèm theo tài liệu theo mục Giáo dục.",,False,"Metrics: Correctness (GEval) (score: 0.0170282752313727, threshold: 0.5, strict: False, error: None) failed."
Hướng dẫn xác thực bằng cấp dùng ở nước ngoài tại HCMUT?,"['this site. The ""HCMUT"" account provides access to many resources including the HCMUT Information System, e-mail, ... \nFor security reasons, please Exit your web browser when you are done accessing services that require authentication!\n### Technical support\n  * E-mail: support@hcmut.edu.vn\n  * Tel: (84-8) 38647256 - 5200 \n\n\n[](http://www.hcmut.edu.vn ""go to HCMUT home page"")\nCopyright © 2011 - 2012 Ho Chi Minh University of Technology. All rights reserved.\nPowered by [Jasig CAS 3.5.1](http://www.jasig.org/cas)', 'quan ảo](https://hcmut.edu.vn/virtual-tour)\n  * Xem thêm\n    * [SINH VIÊN](https://hcmut.edu.vn/student-page)\n    * [GIẢNG VIÊN VÀ CÁN BỘ](https://hcmut.edu.vn/user)\n    * [CỰU SINH VIÊN](https://bka.hcmut.edu.vn/)\n    * [LIÊN HỆ](https://hcmut.edu.vn/contact)\n  * [](https://hcmut.edu.vn/user)![](https://hcmut.edu.vn/img/flag/en.png?t=2)\n\n\n### Bạn cần phải đăng nhập để thực hiện quá trình này\n[![HCMUT Logo](https://hcmut.edu.vn/img/bk.png) Đăng nhập với tài khoản HCMUT](https://hcmut.edu.vn/auth/cas?route=/user)\n[Hoặc đăng nhập với tài khoản khác](https://hcmut.edu.vn/user)\nEmail\nMật khẩu\nĐăng nhập\n[Quên mật khẩu?](https://hcmut.edu.vn/user)\n* * *\n* * *\n![logo](https://hcmut.edu.vn/img/logo.jpg?t=26899198)\nĐẠI HỌC QUỐC GIA THÀNH PHỐ HỒ CHÍ MINH\nTRƯỜNG ĐẠI HỌC BÁCH KHOA\nCơ sở Lý Thường Kiệt: 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM[ (Bản đồ)](https://www.google.com/maps/place/Ho+Chi+Minh+City+University+of+Technology/@10.7771353,106.6600527,16.23z/data=!4m12!1m6!3m5!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!2sHo+Chi+Minh+City+University+of+Technology!8m2!3d10.7733743!4d106.6606193!3m4!1s0x31752ec3c161a3fb:0xef77cd47a1cc691e!8m2!3d10.7733743!4d106.6606193)\nCơ sở Dĩ An:']","Đăng ký qua MyBK hoặc BKSI, cung cấp tài liệu theo hướng dẫn mục Giáo dục.",,False,"Metrics: Correctness (GEval) (score: 0.0, threshold: 0.5, strict: False, error: None) failed."
